College,Major (Degree),,Degree Level
CAS,Administration of Justice,,B.A.
CAS,Anthropology,,B.A.
CAS,Art,,B.A.
CAS,Communication,,B.A.
CAS,Education Studies,,B.A.
CAS,English,,B.A.
CAS,Geography,,B.A.
CAS,History,,B.A.
CAS,Japanese Studies,,B.A.
CAS,Kinesiology and Exercise Sciences,,B.A.
CAS,Liberal Studies,,B.A.
CAS,Performing Arts,,B.A.
CAS,Philosophy,,B.A.
CAS,Political Science,,B.A.
CAS,Psychology,,B.A.
CAS,Sociology,,B.A.
CAS,"Counseling Psychology, M.A.",,Master's
CAS,"Education, M.Ed.",,Master's
CAS,"Heritage Management, M.A.",,Master's
KHUOK,"Indigenous Language and Culture Education, M.A.",,Master's
CAS,"Teaching, M.A.T.",,Master's
CNHS,"Tropical Conservation Biology & Environmental Science, M.S.",,Master's
CNHS,"Nursing Practice, D.N.P.",,Professional Doctorate
DKICP,"Pharmacy, Pharm.D.",,Professional Doctorate
KHUOK,"Hawaiian and Indigenous Language and Culture Revitalization, Ph.D.",,Research Doctorate
DKICP,"Pharmaceutical Sciences, Ph.D.",,Research Doctorate
CAS,"Counseling Psychology, M.A.",,Master's
CAS,"Education, M.Ed.",,Master's
CAS,"Heritage Management, M.A.",,Master's
KHUOK,"Indigenous Language and Culture Education, M.A.",,Master's
CAS,"Teaching, M.A.T.",,Master's
CNHS,"Tropical Conservation Biology & Environmental Science, M.S.",,Master's
CNHS,"Nursing Practice, D.N.P.",,Professional Doctorate
DKICP,"Pharmacy, Pharm.D.",,Professional Doctorate
KHUOK,"Hawaiian and Indigenous Language and Culture Revitalization, Ph.D.",,Research Doctorate
DKICP,"Pharmaceutical Sciences, Ph.D.",,Research Doctorate
CAS,"Counseling Psychology, M.A.",,Master's
CAS,"Education, M.Ed.",,Master's
CAS,"Heritage Management, M.A.",,Master's
KHUOK,"Indigenous Language and Culture Education, M.A.",,Master's
CAS,"Teaching, M.A.T.",,Master's
CNHS,"Tropical Conservation Biology & Environmental Science, M.S.",,Master's
CNHS,"Nursing Practice, D.N.P.",,Professional Doctorate
DKICP,"Pharmacy, Pharm.D.",,Professional Doctorate
KHUOK,"Hawaiian and Indigenous Language and Culture Revitalization, Ph.D.",,Research Doctorate
DKICP,"Pharmaceutical Sciences, Ph.D.",,Research Doctorate
CAS,"Counseling Psychology, M.A.",,Master's
CAS,"Education, M.Ed.",,Master's
CAS,"Heritage Management, M.A.",,Master's
KHUOK,"Indigenous Language and Culture Education, M.A.",,Master's
CAS,"Teaching, M.A.T.",,Master's
CNHS,"Tropical Conservation Biology & Environmental Science, M.S.",,Master's
CNHS,"Nursing Practice, D.N.P.",,Professional Doctorate
DKICP,"Pharmacy, Pharm.D.",,Professional Doctorate
KHUOK,"Hawaiian and Indigenous Language and Culture Revitalization, Ph.D.",,Research Doctorate
DKICP,"Pharmaceutical Sciences, Ph.D.",,Research Doctorate
CAS,"Counseling Psychology, M.A.",,Master's
CAS,"Education, M.Ed.",,Master's
CAS,"Heritage Management, M.A.",,Master's
KHUOK,"Indigenous Language and Culture Education, M.A.",,Master's
CAS,"Teaching, M.A.T.",,Master's
CNHS,"Tropical Conservation Biology & Environmental Science, M.S.",,Master's
CNHS,"Nursing Practice, D.N.P.",,Professional Doctorate
DKICP,"Pharmacy, Pharm.D.",,Professional Doctorate
KHUOK,"Hawaiian and Indigenous Language and Culture Revitalization, Ph.D.",,Research Doctorate
DKICP,"Pharmaceutical Sciences, Ph.D.",,Research Doctorate
